Size,Time
1,0.493
2,0.406
3,0.408
4,0.402
5,0.415
6,0.407
7,0.410
8,0.408
9,0.408
10,0.405
11,0.408
12,0.417
13,0.415
14,0.420
15,0.398
16,0.422
17,0.411
18,0.412
19,0.425
20,0.417
21,0.419
22,0.426
23,0.429
24,0.435
25,0.433
26,0.425
27,0.437
28,0.422
29,0.432
30,0.438
31,0.445
32,0.437
33,0.443
34,0.436
35,0.439
36,0.457
37,0.442
38,0.444
39,0.432
40,0.454
41,0.451
42,0.453
43,0.452
44,0.453
45,0.438
46,0.455
47,0.459
48,0.462
49,0.464
50,0.457
51,0.466
52,0.470
53,0.455
54,0.468
55,0.461
56,0.466
57,0.470
58,0.481
59,0.460
60,0.489
61,0.466
62,0.477
63,0.476
64,0.479
65,0.467
66,0.482
67,0.540
68,0.473
69,0.476
70,0.479
71,0.479
72,0.481
73,0.488
74,0.495
75,0.488
76,0.498
77,0.488
78,0.495
79,0.486
80,0.512
81,0.497
82,0.494
83,0.497
84,0.503
85,0.481
86,0.501
87,0.493
88,0.515
89,0.498
90,0.504
91,0.496
92,0.485
93,0.516
94,0.512
95,0.508
96,0.508
97,0.497
98,0.506
99,0.508
100,0.507
101,0.521
102,0.523
103,0.517
104,0.515
105,0.524
106,0.528
107,0.528
108,0.531
109,0.528
110,0.525
111,0.517
112,0.525
113,0.527
114,0.521
115,0.535
116,0.521
117,0.520
118,0.551
119,0.537
120,0.538
121,0.542
122,0.584
123,0.551
124,0.519
125,0.538
126,0.530
127,0.540
128,0.549
129,0.557
130,0.533
131,0.558
132,0.557
133,0.556
134,0.553
135,0.542
136,0.559
137,0.560
138,0.545
139,0.567
140,0.576
141,0.546
142,0.554
143,0.561
144,0.570
145,0.549
146,0.554
147,0.579
148,0.565
149,0.573
150,0.582
151,0.558
152,0.576
153,0.579
154,0.562
155,0.585
156,0.594
157,0.578
158,0.579
159,0.587
160,0.578
161,0.581
162,0.582
163,0.581
164,0.593
165,0.584
166,0.637
167,0.570
168,0.595
169,0.612
170,0.601
171,0.598
172,0.591
173,0.586
174,0.601
175,0.609
176,0.595
177,0.609
178,0.600
179,0.606
180,0.599
181,0.582
182,0.601
183,0.597
184,0.599
185,0.600
186,0.601
187,0.604
188,0.613
189,0.607
190,0.611
191,0.611
192,0.620
193,0.625
194,0.621
195,0.629
196,0.628
197,0.609
198,0.630
199,0.640
200,0.620
201,0.621
202,0.625
203,0.695
204,0.617
205,0.626
206,0.629
207,0.649
208,0.633
209,0.630
210,0.642
211,0.663
212,0.641
213,0.641
214,0.646
215,0.653
216,0.642
217,0.635
218,0.645
219,0.650
220,0.618
221,0.651
222,0.658
223,0.680
224,0.649
225,0.660
226,0.639
227,0.651
228,0.668
229,0.660
230,0.653
231,0.654
232,0.660
233,0.650
234,0.663
235,0.680
236,0.715
237,0.659
238,0.662
239,0.672
240,0.677
241,0.669
242,0.692
243,0.685
244,0.672
245,0.685
246,0.669
247,0.676
248,0.674
249,0.669
250,0.692
251,0.687
252,0.701
253,0.695
254,0.693
255,0.693
256,0.670
257,0.678
258,0.706
259,0.676
260,0.690
261,0.694
262,0.684
263,0.704
264,0.689
265,0.702
266,0.763
267,0.697
268,0.705
269,0.704
270,0.722
271,0.707
272,0.711
273,0.696
274,0.723
275,0.719
276,0.707
277,0.710
278,0.719
279,0.718
280,0.714
281,0.719
282,0.709
283,0.718
284,0.717
285,0.710
286,0.703
287,0.737
288,0.727
289,0.738
290,0.728
291,0.717
292,0.752
293,0.723
294,0.771
295,0.737
296,0.738
297,0.740
298,0.730
299,0.739
300,0.746
301,0.743
302,0.747
303,0.738
304,0.740
305,0.759
306,0.740
307,0.739
308,0.747
309,0.734
310,0.748
311,0.764
312,0.743
